,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
828,MARVELOUS TECHNOLOGIES INC,DATA ANALYST,"80,000","GURNEE, IL",05/25/2022,10/01/2022
829,PEAK6 INSURTECH SERVICES LLC,DATA ANALYST,"80,000","AUSTIN, TX",06/04/2022,06/08/2022
830,MOORE INFOTECH INC,DATA ANALYST,"80,000","MEMPHIS, TN",06/06/2022,10/01/2022
831,SCADEA SOLUTIONS INC,DATA ANALYST,"80,000","PRINCETON, NJ",06/16/2022,10/01/2022
832,SYSINTELLI INC,DATA ANALYST,"80,000","SAN DIEGO, CA",06/20/2022,10/01/2022
833,EAST WEST BANK,DATA ANALYST,"80,000","PASADENA, CA",06/23/2022,07/18/2022
834,NTECH INTERNATIONAL LLC,DATA ANALYST,"80,018","JACKSONVILLE, FL",05/20/2022,10/01/2022
835,COMPUTER POWER GROUP INC,DATA ANALYST,"80,018","JACKSONVILLE, FL",06/19/2022,10/01/2022
836,COMPUTER POWER GROUP INC,DATA ANALYST,"80,018","JACKSONVILLE, FL",06/22/2022,10/01/2022
837,GROUPON INC,DATA ANALYST,"80,100","CHICAGO, IL",04/22/2022,05/31/2022
838,VERINON TECHNOLOGY SOLUTIONS LTD,DATA ANALYST,"80,267","FORT LAUDERDALE, FL",03/09/2022,03/21/2022
839,DATAQUAD INC,DATA ANALYST,"80,300","IRVING, TX",10/06/2022,10/14/2022
840,TREATMENT CENTERS HOLDCO LLC,DATA ANALYST,"80,300","GREENVILLE, SC",10/31/2022,12/01/2022
841,MHM HEALTH PROFESSIONALS LLC,DATA ANALYST,"80,340","COLLEGE PARK, MD",01/10/2022,01/11/2022
842,RISKSPAN INC,DATA ANALYST,"80,400","ARLINGTON, VA",02/23/2022,08/21/2022
843,SWAVE SENSING INC,DATA ANALYST,"80,500","HOBOKEN, NJ",04/18/2022,10/01/2022
844,MOXIE IT SOLUTIONS,DATA ANALYST,"80,500","LOUISVILLE, KY",06/17/2022,10/01/2022
845,MV TRANSPORTATION INC,DATA ANALYST,"80,850","EVERETT, WA",02/21/2022,02/21/2022
846,TAVANT TECHNOLOGIES INC,DATA ANALYST,"81,085","HARRISON, NJ",04/20/2022,10/01/2022
847,ALREACH CORPORATION,DATA ANALYST,"81,390","4640 ADMIRALTY WAY, 5TH FL, CA",04/20/2022,05/02/2022
848,DTS INC,DATA ANALYST,"81,390","CALABASAS, CA",06/06/2022,10/01/2022
849,COMSCORE INC,DATA ANALYST,"81,490","NEWTON, MA",04/15/2022,07/15/2022
850,SRI TECH SOLUTIONS INC,DATA ANALYST,"81,494","TAMPA, FL",05/10/2022,10/01/2022
851,CENSIA INC,DATA ANALYST,"81,500","RICHARDSON, TX",04/13/2022,10/01/2022
852,UNIVERSITY OF ILLINOIS,DATA ANALYST,"81,723","URBANA, IL",08/31/2022,10/01/2022
853,LEX NIMBLE SOLUTIONS INC,DATA ANALYST,"81,910","HENRICO, VA",05/11/2022,10/01/2022
854,ALAMEDATECH SOLUTIONS LLC,DATA ANALYST,"81,910","RICHMOND, VA",06/04/2022,10/01/2022
855,SLS SOLUTIONS INC,DATA ANALYST,"81,910","RICHMOND, VA",06/14/2022,10/01/2022
856,SLS SOLUTIONS INC,DATA ANALYST,"81,910","RICHMOND, VA",06/14/2022,10/01/2022
857,LEX NIMBLE SOLUTIONS INC,DATA ANALYST,"81,910","RICHMOND, VA",06/18/2022,10/01/2022
858,TRANSDEV SERVICES INC,DATA ANALYST,"82,000","DORCHESTER, MA",07/27/2022,09/17/2022
859,NOVAGIGS INC,DATA ANALYST,"82,000","MCLEAN, VA",04/05/2022,04/25/2022
860,NOVAGIGS INC,DATA ANALYST,"82,000","MCLEAN, VA",04/11/2022,04/25/2022
861,MH SUB I LLC DBA INTERNET BRANDS INC,DATA ANALYST,"82,000","EL SEGUNDO, CA",02/18/2022,08/19/2022
862,TAVANT TECHNOLOGIES INC,DATA ANALYST,"82,138","JERSEY CITY, NJ",04/19/2022,10/01/2022
863,NEWFOLD DIGITAL INC,DATA ANALYST,"82,200","MERCER ISLAND, WA",09/28/2022,10/30/2022
864,TRENMOR LLC,DATA ANALYST,"82,202","DALLAS, TX",04/25/2022,10/01/2022
865,ITLIZE GLOBAL LLC,DATA ANALYST,"82,472","MCLEAN, VA",05/23/2022,10/01/2022
866,OSS INC,DATA ANALYST,"82,472","GAITHERSBURG, MD",06/09/2022,10/01/2022
867,MTR IT SOLUTIONS INC,DATA ANALYST,"82,472","ALEXANDRIA, VA",06/09/2022,10/01/2022
868,COMMUNICATIONS TEST DESIGN INC,DATA ANALYST,"82,500","WEST CHESTER, PA",04/05/2022,10/01/2022
869,SWINGTECH CONSULTING INC,DATA ANALYST,"82,500","GREENBELT, MD",02/10/2022,02/28/2022
870,TRIANGLE ENVIRONMENTAL SERVICE CENTER INC,DATA ANALYST,"82,638","RICHARDSON, TX",03/07/2022,08/27/2022
871,AUTOMATION TECHNOLOGIES LLC,DATA ANALYST,"82,701","SAN FRANCISCO, CA",06/16/2022,10/01/2022
872,AUTOMATION TECHNOLOGIES LLC,DATA ANALYST,"82,701","SAN FRANCISCO, CA",06/16/2022,10/01/2022
873,AGILE GLOBAL CONSULTING INC,DATA ANALYST,"82,742","VIRGINIA BEACH, VA",06/08/2022,10/01/2022
874,AGILE GLOBAL CONSULTING INC,DATA ANALYST,"82,742","VIRGINIA BEACH, VA",06/08/2022,10/01/2022
875,AGILE GLOBAL CONSULTING INC,DATA ANALYST,"82,742","VIRGINIA BEACH, VA",06/08/2022,10/01/2022
876,THE MARTIN BROWER COMPANY LLC,DATA ANALYST,"83,000","ROSEMONT, IL",12/06/2022,12/22/2022
877,DATALYSYS LLC,DATA ANALYST,"83,000","DUBLIN, OH",10/13/2022,10/19/2022
878,ISN SOFTWARE CORPORATION,DATA ANALYST,"83,000","DALLAS, TX",04/12/2022,10/01/2022
879,ISN SOFTWARE CORPORATION,DATA ANALYST,"83,000","DALLAS, TX",04/15/2022,10/01/2022
880,CHARTER COMMUNICATIONS INC,DATA ANALYST,"83,179","CHARLOTTE, NC",09/21/2022,09/28/2022
881,RAYLOT RESOURCES INC,DATA ANALYST,"83,200","LEXINGTON, KY",12/07/2022,02/15/2023
882,INFOGAIN CORPORATION,DATA ANALYST,"83,440","SOUTHLAKE, TX",05/18/2022,10/01/2022
883,WARGAMING (USA) INC,DATA ANALYST,"83,470","CHICAGO, IL",04/15/2022,09/06/2022
884,ATI INC,DATA ANALYST,"83,533","MCLEAN, VA",10/21/2022,11/01/2022
885,VECNA ROBOTICS INC,DATA ANALYST,"83,600","WALTHAM, MA",04/25/2022,10/01/2022
886,LENOVO (UNITED STATES) INC,DATA ANALYST,"83,700","MORRISVILLE, NC",04/01/2022,08/21/2022
887,LENOVO (UNITED STATES) INC,DATA ANALYST,"83,700","MORRISVILLE, NC",04/01/2022,08/21/2022
888,CONFLUX SYSTEMS INC,DATA ANALYST,"83,886","IRVING, TX",10/03/2022,10/10/2022
889,ROBINHOOD MARKETS INC,DATA ANALYST,"84,000","PHILADELPHIA, PA",04/13/2022,10/01/2022
890,LEAF GROUP LTD,DATA ANALYST,"84,000","SANTA MONICA, CA",05/03/2022,10/01/2022
891,FOCUSKPI INC,DATA ANALYST,"84,000","LOS ANGELES, CA",05/31/2022,10/01/2022
892,EUREKA INFOTECH INC,DATA ANALYST,"84,094","FRANKLIN, TN",03/29/2022,04/05/2022
893,CISCO SYSTEMS INC,DATA ANALYST,"84,500","MAYNARD, MA",04/12/2022,07/01/2022
894,AARNA PRIYA INC,DATA ANALYST,"84,500","HERNDON, VA",05/15/2022,10/01/2022
895,CISCO SYSTEMS INC,DATA ANALYST,"84,545","SAN JOSE, CA",01/25/2022,07/01/2022
896,GSS INFOTECH CT INC,DATA ANALYST,"84,718","DES MOINES, IA",03/03/2022,03/14/2022
897,SLK AMERICA INC,DATA ANALYST,"84,730","CARMEL, IN",06/02/2022,06/09/2022
898,VERINON TECHNOLOGY SOLUTIONS LTD,DATA ANALYST,"84,781","ALPHARETTA, GA",11/09/2022,11/09/2022
899,VERINON TECHNOLOGY SOLUTIONS LTD,DATA ANALYST,"84,781","ALPHARETTA, GA",11/09/2022,11/09/2022
900,GSS INFOTECH CT INC,DATA ANALYST,"84,781","MANCHESTER, CT",02/10/2022,02/20/2022
901,MICRON TECHNOLOGY INC,DATA ANALYST,"84,870","BOISE, ID",03/29/2022,09/25/2022
902,ALLPRO CONSULTING LLC,DATA ANALYST,"84,930","KATY, TX",05/31/2022,10/01/2022
903,SIRI INFOSOLUTIONS INC,DATA ANALYST,"85,000","WESTFIELD CENTER, OH",10/12/2022,10/24/2022
904,OPTUM SERVICES INC,DATA ANALYST,"85,000","NAPERVILLE, IL",03/08/2022,08/31/2022
905,ACHIEVA IT INC,DATA ANALYST,"85,000","SANDY SPRINGS, GA",03/16/2022,03/16/2022
906,PROGRESSIVE CASUALTY INSURANCE COMPANY,DATA ANALYST,"85,000","WAUKEE, IA",03/22/2022,06/13/2022
907,LCS FINANCIAL SERVICES CORPORATION,DATA ANALYST,"85,000","CENTENNIAL, CO",04/02/2022,10/01/2022
908,ROBERT CHARLES LESSER & CO LLC,DATA ANALYST,"85,000","LOS ANGELES, CA",04/04/2022,09/02/2022
909,BJS WHOLESALE CLUB INC,DATA ANALYST,"85,000","WESTBOROUGH, MA",04/07/2022,10/01/2022
910,ALVAREZ & MARSAL TRANSACTION ADVISORY GROUP LLC,DATA ANALYST,"85,000","NEW YORK, NY",04/15/2022,10/01/2022
911,CERTIFIED KERNEL TECH LLC,DATA ANALYST,"85,000","NEW YORK, NY",04/17/2022,10/01/2022
912,DOW JONES AND COMPANY,DATA ANALYST,"85,000","NEW YORK, NY",04/18/2022,10/01/2022
913,PRA GROUP INC,DATA ANALYST,"85,000","NORFOLK, VA",04/20/2022,10/01/2022
914,ESHOCAN LLC,DATA ANALYST,"85,000","YPSILANTI, MI",01/25/2022,02/01/2022
915,DOW JONES AND COMPANY,DATA ANALYST,"85,000","BOSTON, MA",02/03/2022,07/29/2022
916,SALESFORCE INC,DATA ANALYST,"85,000","PHOENIX, AZ",04/25/2022,10/01/2022
917,DOTCOM TEAM LLC,DATA ANALYST,"85,000","BOSTON, MA",05/03/2022,05/03/2022
918,QUANTIPHI INC,DATA ANALYST,"85,000","PRINCETON, NJ",05/15/2022,10/01/2022
919,TRIAX TECHNOLOGIES INC,DATA ANALYST,"85,000","PLANO, TX",05/17/2022,10/01/2022
920,XELAY ACUMEN GROUP INC,DATA ANALYST,"85,000","SAN MATEO, CA",05/19/2022,10/01/2022
921,NUANZA INC,DATA ANALYST,"85,000","HOUSTON, TX",05/23/2022,10/01/2022
922,NUANZA INC,DATA ANALYST,"85,000","HOUSTON, TX",05/26/2022,10/01/2022
923,CUBERG INC,DATA ANALYST,"85,000","SAN LEANDRO, CA",05/26/2022,10/01/2022
924,A SQUARE GROUP LLC,DATA ANALYST,"85,000","HYDE PARK, MA",05/27/2022,10/01/2022
925,SALESFORCE INC,DATA ANALYST,"85,000","PHOENIX, AZ",06/07/2022,10/01/2022
926,TRIAX TECHNOLOGIES INC,DATA ANALYST,"85,000","PLANO, TX",06/07/2022,10/01/2022
927,AMERICAN PROCESS MANAGEMENT LLC,DATA ANALYST,"85,000","VESTAVIA HILLS, AL",06/08/2022,10/01/2022
928,PROGRESSIVE CASUALTY INSURANCE COMPANY,DATA ANALYST,"85,200","SCHAUMBURG, IL",09/20/2022,10/17/2022
929,HSQUARE IT SOLUTIONS INC,DATA ANALYST,"85,280","JACKSONVILLE, FL",12/02/2022,01/03/2023
930,UNITED HEALTHCARE SERVICES INC,DATA ANALYST,"85,301","IRVING, TX",02/24/2022,03/07/2022
931,FORTUNE MINDS INC,DATA ANALYST,"85,301","FRISCO, TX",05/20/2022,10/01/2022
932,TEXARA SOLUTIONS LLC,DATA ANALYST,"85,301","DALLAS, TX",06/01/2022,10/01/2022
933,RAVIN IT SOLUTIONS INC,DATA ANALYST,"85,301","LEWISVILLE, TX",06/08/2022,10/01/2022
934,SYSTEM SOFT TECHNOLOGIES LLC,DATA ANALYST,"85,310","PLANO, TX",06/16/2022,10/01/2022
935,SQUAD SOFTWARE INC,DATA ANALYST,"85,400","PLANO, TX",05/26/2022,10/01/2022
936,AVVENTIS TECH INC,DATA ANALYST,"85,467","BUFFALO, NY",09/28/2022,10/01/2022
937,YOUNG & ELLISON LLC,DATA ANALYST,"85,500","ELKRIDGE, MD",11/30/2022,12/16/2022
938,ITRENDING SOLUTIONS LLC,DATA ANALYST,"85,500","DALLAS, TX",06/17/2022,10/01/2022
939,DATAQUAD INC,DATA ANALYST,"85,690","SAN ANTONIO, TX",08/29/2022,08/29/2022
940,ENVESTNET FINANCIAL TECHNOLOGIES INC,DATA ANALYST,"85,691","DALLAS, TX",11/21/2022,12/12/2022
941,DOMINION NATIONAL,DATA ANALYST,"85,821","SNOHOMISH, WA",09/13/2022,09/13/2022
942,MELLOW SOFT INC,DATA ANALYST,"85,842","CHARLOTTE, NC",05/24/2022,10/01/2022
943,SIEMENS HEALTHCARE DIAGNOSTICS INC,DATA ANALYST,"86,000","TARRYTOWN, NY",04/20/2022,10/01/2022
944,DOYENSYS INC,DATA ANALYST,"86,000","DALLAS, TX",04/22/2022,10/01/2022
945,CITIUSTECH INC,DATA ANALYST,"86,000","PRINCETON, NJ",05/10/2022,10/01/2022
946,CITIUSTECH INC,DATA ANALYST,"86,000","PRINCETON, NJ",05/10/2022,10/01/2022
947,HELI CONSULTING LLC,DATA ANALYST,"86,000","IRVING, TX",05/25/2022,10/01/2022
948,FIGG INC,DATA ANALYST,"86,000","HARRISON, NJ",05/26/2022,10/01/2022
949,IM PRO MAKEUP NY LP,DATA ANALYST,"86,200","NEW YORK, NY",02/21/2022,03/01/2022
950,DATA SYS IT INC,DATA ANALYST,"86,445","PEORIA, IL",05/10/2022,10/01/2022
951,CITIUSTECH INC,DATA ANALYST,"86,500","IRVING, TX",05/03/2022,10/01/2022
952,HUGHES NETWORK SYSTEMS LLC,DATA ANALYST,"86,510","GERMANTOWN, MD",05/24/2022,10/01/2022
953,ANALYTIC ERA LLC,DATA ANALYST,"86,632","CHANDLER, AZ",06/16/2022,10/01/2022
954,CONFERENCE DIRECT LLC,DATA ANALYST,"86,700","FOLSOM, CA",04/13/2022,10/01/2022
955,UNITED HEALTHCARE SERVICES INC,DATA ANALYST,"86,861","IRVING, TX",08/15/2022,09/01/2022
956,ISITE TECHNOLOGIES INC,DATA ANALYST,"86,861","SOUTHLAKE, TX",08/29/2022,09/05/2022
957,TECHNOSOFT CORPORATION,DATA ANALYST,"86,870","LITTLE ELM, TX",10/03/2022,10/20/2022
958,FORTUNE MINDS INC,DATA ANALYST,"87,000","FRISCO, TX",12/10/2022,12/19/2022
959,PROGRESSIVE CASUALTY INSURANCE COMPANY,DATA ANALYST,"87,000","AVON, OH",03/21/2022,04/18/2022
960,RISKSPAN INC,DATA ANALYST,"87,000","ARLINGTON, VA",02/18/2022,08/19/2022
961,BLEND360 LLC,DATA ANALYST,"87,000","JERSEY CITY, NJ",04/22/2022,10/01/2022
962,SUNNEST SERVICES LLC,DATA ANALYST,"87,000","CALEXICO, CA",05/20/2022,10/01/2022
963,GALAXY I TECHNOLOGIES INC,DATA ANALYST,"87,000","LAS VEGAS, NV",06/01/2022,10/01/2022
964,GALAXY I TECHNOLOGIES INC,DATA ANALYST,"87,000","LAS VEGAS, NV",06/02/2022,10/01/2022
965,UNIVERSITY OF CALIFORNIA LOS ANGELES,DATA ANALYST,"87,000","LOS ANGELES, CA",06/04/2022,07/11/2022
966,GALAXY I TECHNOLOGIES INC,DATA ANALYST,"87,000","SCOTTSDALE, AZ",06/20/2022,10/01/2022
967,INFOTECH PRISM LLC,DATA ANALYST,"87,485","ALPHARETTA, GA",01/13/2022,01/14/2022
968,INFOTECH PRISM LLC,DATA ANALYST,"87,485","ALPHARETTA, GA",02/10/2022,02/11/2022
969,TRAACKR INC,DATA ANALYST,"87,500","BROOKLYN, NY",02/11/2022,02/20/2022
970,INSURANCE SERVICES OFFICE INC,DATA ANALYST,"87,500","JERSEY CITY, NJ",02/23/2022,08/24/2022
971,RISKSPAN INC,DATA ANALYST,"87,500","ARLINGTON, VA",02/24/2022,08/21/2022
972,SOFAR SOUNDS LLC,DATA ANALYST,"87,550","SOMERVILLE, MA",05/13/2022,10/01/2022
973,EXPEDENT CORP,DATA ANALYST,"88,000","MEMPHIS, TN",10/20/2022,10/31/2022
974,CDL MARKETING GROUP LLC,DATA ANALYST,"88,000","ROYAL OAK, MI",04/11/2022,10/01/2022
975,COHERE HEALTH INC,DATA ANALYST,"88,005","MALDEN, MA",05/04/2022,10/01/2022
976,MINDQ INC,DATA ANALYST,"88,005","NORWOOD, MA",05/24/2022,10/01/2022
977,AGE OF LEARNING INC,DATA ANALYST,"88,016","GLENDALE, CA",03/18/2022,09/17/2022
978,MCKINSEY & COMPANY INC UNITED STATES,DATA ANALYST,"88,100","WALTHAM, MA",04/18/2022,08/16/2022
979,DTE ENERGY CORPORATE SERVICES LLC,DATA ANALYST,"88,200","DETROIT, MI",02/22/2022,08/08/2022
980,AUTODESK INC,DATA ANALYST,"88,275","LYNNWOOD, WA",03/15/2022,08/15/2022
981,UBER TECHNOLOGIES INC,DATA ANALYST,"88,275","SEATTLE, WA",03/31/2022,09/25/2022
982,UNIFIED TECH GROUP INC,DATA ANALYST,"88,500","CHICAGO, IL",05/10/2022,10/01/2022
983,INFOGAIN CORPORATION,DATA ANALYST,"88,591","LOS GATOS, CA",06/15/2022,10/01/2022
984,INFOGAIN CORPORATION,DATA ANALYST,"88,591","LOS GATOS, CA",06/15/2022,10/01/2022
985,ELITE SOLUTIONS INC,DATA ANALYST,"88,608","CANTON, MA",04/21/2022,09/18/2022
986,ELITE SOLUTIONS INC,DATA ANALYST,"88,608","CANTON, MA",04/21/2022,09/18/2022
987,FINITETEK INC,DATA ANALYST,"88,608","CANTON, MA",06/17/2022,10/01/2022
988,TRILOK SOFTWARE SOLUTIONS LLC,DATA ANALYST,"88,629","MORRISVILLE, NC",05/20/2022,10/01/2022
989,CLIMATE LLC,DATA ANALYST,"88,995","ST. LOUIS, MO",04/21/2022,10/01/2022
990,STAFFWORXS LLC,DATA ANALYST,"89,000","MALVERN, PA",01/10/2022,01/14/2022
991,STAFFWORXS LLC,DATA ANALYST,"89,000","EXTON, PA",05/05/2022,05/11/2022
992,STAFFWORXS LLC,DATA ANALYST,"89,000","MALVERN, PA",01/10/2022,01/14/2022
993,STAFFWORXS LLC,DATA ANALYST,"89,000","EXTON, PA",05/05/2022,05/11/2022
994,REDFIN CORPORATION,DATA ANALYST,"89,414","SEATTLE, WA",03/29/2022,09/01/2022
995,TOPSYS IT SOLUTIONS LLC,DATA ANALYST,"89,544","PLANO, TX",04/13/2022,10/01/2022
996,VEL TRUE TECHNOLOGIES LLC,DATA ANALYST,"89,545","PLANO, TX",06/06/2022,10/01/2022
997,CHERISH TECHNOLOGIES INC,DATA ANALYST,"89,565","DALLAS, TX",06/14/2022,10/01/2022
998,INNOVIT USA INC,DATA ANALYST,"89,600","FARMERS BRANCH, TX",04/13/2022,04/14/2022
999,SILICON LABORATORIES INC,DATA ANALYST,"89,642","AUSTIN, TX",05/12/2022,10/01/2022
1000,SHARETHIS INC,DATA ANALYST,"89,648","PALO ALTO, CA",03/24/2022,06/01/2022
1001,SHARETHIS INC,DATA ANALYST,"89,648","PALO ALTO, CA",03/31/2022,06/01/2022
1002,CORTEC PRECISION SHEET METAL INC,DATA ANALYST,"89,648","SAN JOSE, CA",04/11/2022,10/01/2022
1003,SHARETHIS INC,DATA ANALYST,"89,648","PALO ALTO, CA",03/24/2022,06/01/2022
1004,SV INFOTECH GROUP INC,DATA ANALYST,"89,648","SAN JOSE, CA",01/29/2022,02/04/2022
1005,ADVANCED ENERGY INDUSTRIES INC,DATA ANALYST,"89,648","MILPITAS, CA",05/09/2022,10/01/2022
1006,SACROSANCTINFO LLC,DATA ANALYST,"89,648","MOUNTAIN VIEW, CA",05/19/2022,10/01/2022
1007,RYZLINK CORP,DATA ANALYST,"89,648","SANTA CLARA, CA",06/14/2022,10/01/2022
1008,ALTEK INC,DATA ANALYST,"89,669","RICHMOND, VA",03/31/2022,04/07/2022
1009,SANN IT SOLUTIONS INC,DATA ANALYST,"89,669","RICHMOND, VA",06/10/2022,06/13/2022
1010,RBUS INC,DATA ANALYST,"89,690","FORT MILL, SC",05/16/2022,10/01/2022
1011,EVERSOFT TECHNOLOGIES LLC,DATA ANALYST,"89,690","CHARLOTTE, NC",06/10/2022,10/01/2022
1012,ADROIT WORLDWIDE MEDIA INC,DATA ANALYST,"89,835","ALISO VIEJO, CA",05/05/2022,09/15/2022
1013,UNIVERSITY OF ILLINOIS,DATA ANALYST,"89,868","CINCINNATI, OH",10/27/2022,01/02/2023
1014,TECHNOSOFT CORPORATION,DATA ANALYST,"89,870","LITTLE ELM, TX",10/05/2022,10/18/2022
1015,ANALYTICS9 SOLUTIONS INC,DATA ANALYST,"90,000","RICHMOND, VA",06/30/2022,07/01/2022
1016,RYDER SYSTEM INC,DATA ANALYST,"90,000","CHATTANOOGA, TN",12/08/2022,12/19/2022
1017,KIEWIT ENGINEERING GROUP INC,DATA ANALYST,"90,000","LONE TREE, CO",12/06/2022,01/09/2023
1018,AVANI TECHNOLOGY SOLUTIONS INC,DATA ANALYST,"90,000","CINCINNATI, OH",08/12/2022,08/12/2022
1019,VERTEX ANALYTICS INC,DATA ANALYST,"90,000","ATLANTA, GA",08/18/2022,09/07/2022
1020,CITCON USA LLC,DATA ANALYST,"90,000","SANTA CLARA, CA",10/04/2022,11/01/2022
1021,CREOSPAN INC,DATA ANALYST,"90,000","COLUMBUS, NJ",10/21/2022,11/01/2022
1022,MACIAS GINI & O'CONNELL LLP,DATA ANALYST,"90,000","WALNUT CREEK, CA",03/10/2022,08/26/2022
1023,CORPORATE COMPUTER SOLUTIONS LLC,DATA ANALYST,"90,000","ST. PETERSBURG, FL",04/13/2022,07/01/2022
1024,THE DIAMOND GUYS INC,DATA ANALYST,"90,000","SCOTTSDALE, AZ",04/13/2022,10/01/2022
1025,BLU DOT DESIGN & MANUFACTURING INC,DATA ANALYST,"90,000","MINNEAPOLIS, MN",04/14/2022,08/25/2022
1026,TRINITY INDUSTRIES INC,DATA ANALYST,"90,000","DALLAS, TX",04/15/2022,10/01/2022
1027,FETCH REWARDS INC,DATA ANALYST,"90,000","CHICAGO, IL",04/18/2022,10/01/2022
1028,CERTIFIED KERNEL TECH LLC,DATA ANALYST,"90,000","NEW YORK, NY",04/18/2022,10/01/2022
1029,PLAYQ INC,DATA ANALYST,"90,000","SANTA MONICA, CA",01/14/2022,07/10/2022
1030,SYNDIO SOLUTIONS INC,DATA ANALYST,"90,000","CHICAGO, IL",02/16/2022,02/22/2022
1031,ACCOLADE INC,DATA ANALYST,"90,000","SEATTLE, WA",02/24/2022,08/26/2022
1032,BAYVIEW ASSET MANAGEMENT LLC,DATA ANALYST,"90,000","CORAL GABLES, FL",06/29/2022,07/07/2022
1033,SKY IT GROUP LLC,DATA ANALYST,"90,000","NEW YORK, NY",08/25/2022,09/01/2022
1034,VERTEX ANALYTICS INC,DATA ANALYST,"90,000","ATLANTA, GA",08/18/2022,09/07/2022
1035,THE DIAMOND GUYS INC,DATA ANALYST,"90,000","SCOTTSDALE, AZ",04/20/2022,10/01/2022
1036,BESHTON SOFTWARE INC,DATA ANALYST,"90,000","SAN JOSE, CA",04/22/2022,10/01/2022
1037,CITCON USA LLC,DATA ANALYST,"90,000","SANTA CLARA, CA",04/26/2022,10/01/2022
1038,MCKINSEY & COMPANY INC UNITED STATES,DATA ANALYST,"90,000","SUMMIT, NJ",04/27/2022,08/16/2022
1039,TAJ TECHNOLOGIES INC,DATA ANALYST,"90,000","BLOOMINGTON, MN",04/27/2022,10/01/2022
1040,CORPORATE COMPUTER SOLUTIONS LLC,DATA ANALYST,"90,000","ST. PETERSBURG, FL",05/06/2022,07/01/2022
1041,Z21 LABS INC,DATA ANALYST,"90,000","PLANO, TX",05/11/2022,10/01/2022
1042,XMOTORSAI INC,DATA ANALYST,"90,000","SANTA CLARA, CA",05/12/2022,10/01/2022
1043,IKIGAI LABS INC,DATA ANALYST,"90,000","SAN FRANCISCO, CA",05/13/2022,10/01/2022
1044,LASAI TECHNOLOGIES LLC,DATA ANALYST,"90,000","REDMOND, WA",05/18/2022,10/01/2022
1045,MAISONETTE INC,DATA ANALYST,"90,000","BROOKLYN, NY",05/19/2022,10/01/2022
1046,TEJ SOLUTIONS INC,DATA ANALYST,"90,000","NASHUA, NH",05/19/2022,10/01/2022
1047,SYSINTEL INC,DATA ANALYST,"90,000","FORT WORTH, TX",05/23/2022,05/31/2022
1048,ZELANTETECH LLC,DATA ANALYST,"90,000","KATY, TX",05/25/2022,10/01/2022
1049,SPRUCE TECHNOLOGY INC,DATA ANALYST,"90,000","NEW YORK, NY",05/25/2022,10/01/2022
1050,TITAN DATA GROUP INC,DATA ANALYST,"90,000","PLANO, TX",05/31/2022,10/01/2022
1051,PROSPECT INFOSYSTEM INC,DATA ANALYST,"90,000","HOUSTON, TX",06/01/2022,08/04/2022
1052,VENCEDOR SOFTWARE GROUP INC,DATA ANALYST,"90,000","CARY, NC",06/07/2022,10/01/2022
1053,LEANTAAS INC,DATA ANALYST,"90,000","SANTA CLARA, CA",06/10/2022,10/01/2022
1054,ECOM SOLUTIONS INC,DATA ANALYST,"90,000","ATLANTA, GA",06/16/2022,10/01/2022
1055,TATVAM TECHNOLOGIES INC,DATA ANALYST,"90,000","HARRISBURG, PA",06/22/2022,10/01/2022
1056,SALESFORCECOM INC,DATA ANALYST,"90,002","SANTA CLARA, CA",03/08/2022,08/31/2022
1057,SALESFORCE INC,DATA ANALYST,"90,002","SANTA CLARA, CA",04/07/2022,10/01/2022
1058,DATANORMUS LLC,DATA ANALYST,"90,335","RICHMOND, VA",08/08/2022,08/15/2022
1059,DATANORMUS LLC,DATA ANALYST,"90,335","RICHMOND, VA",09/12/2022,09/12/2022
1060,SPIDERROCK PLATFORM SERVICES LLC,DATA ANALYST,"90,397","CHICAGO, IL",04/06/2022,10/01/2022
1061,CYANICSOFT INC,DATA ANALYST,"90,397","CHAGRIN FALLS, OH",04/20/2022,05/16/2022
1062,ZILLOW INC,DATA ANALYST,"90,438","SEATTLE, WA",09/21/2022,10/10/2022
1063,MUSARUBRA US LLC,DATA ANALYST,"90,500","PLANO, TX",05/03/2022,09/18/2022
1064,LEVERAGE TECHNOLOGIES INC,DATA ANALYST,"90,522","HOUSTON, TX",11/18/2022,11/28/2022
1065,DIGITALIS INC,DATA ANALYST,"90,522","SPRING, TX",11/16/2022,11/23/2022
1066,SHIVAM INFOTECH INC,DATA ANALYST,"90,522","HOUSTON, TX",12/15/2022,12/20/2022
1067,DIGITALIS INC,DATA ANALYST,"90,522","SPRING, TX",08/31/2022,09/07/2022
1068,TRELLANCE INC,DATA ANALYST,"90,584","TAMPA, FL",07/01/2022,07/08/2022
1069,FULLBEAUTY BRANDS MANAGEMENT SERVICES LLC,DATA ANALYST,"90,635","NEW YORK, NY",04/13/2022,10/01/2022
1070,FULLBEAUTY BRANDS MANAGEMENT SERVICES LLC,DATA ANALYST,"90,635","JERSEY CITY, NJ",05/02/2022,10/01/2022
1071,FULLBEAUTY BRANDS MANAGEMENT SERVICES LLC,DATA ANALYST,"90,635","NEW YORK, NY",05/12/2022,10/01/2022
1072,FULLBEAUTY BRANDS MANAGEMENT SERVICES LLC,DATA ANALYST,"90,635","JERSEY CITY, NJ",05/12/2022,10/01/2022
